
This file was downloaded on 2021-10-19T04:14:35 UTC from snrcat.physics.umanitoba.ca
G;id_uncertain;id_new;id_alt;id_old;type;type_uncertain;context;remnant;SN_year;SN_association;age_min (yr);age_max (yr);distance_min (kpc);distance_max (kpc);size_coarse (arcmin);size_imprecise;size_radio;size_X;J2000_ra (hh:mm:ss);J2000_dec (dd:mm:ss);J2000_from
G308.4-01.4;;;G308.3-01.4;;shell;;contains CXOU J134124.22-634352.0 = CCO? or binary?;eje,NS?;;;2400;7500;3.1;9.8;9;1;~14'x6';;13:41:33;-63:44:41;paper J coord
G308.8-00.1;;;;G308.7+0.0;plerionic composite;1;contains PSR J1341-6220 = B1338-62 + PWN;eje?,PSR,PWN;;;;;;;25;;30'x20';;13:42:30;-62:23:00;Green J coord
G309.2-00.6;;;;G309.2-0.7;shell;;contains X-ray source 1WGA J1346.5-6255 = unrelated star HD 119682 in the foreground open cluster NGC 5281;eje;;;700;4000;2;7;13;;15'x12';;13:46:31;-62:54:00;Green J coord
G309.8+00.0;;;;;shell;;;eje;;;;;;;22;;25'x19';;13:50:30;-62:05:00;Green J coord
G309.8-02.6;;;;;filled-centre;1;PWN G309.92-2.51 and PSR J1357-6429;eje?,PSR,PWN;;;;;2.1;2.5;23;1;35'x15';1'x2';13:57:00;-64:29:20;paper G name
G310.6-00.3;;;Kes 20B;;shell;;;eje;;;;;6.9;6.9;8;;8';;13:58:00;-62:09:00;Green J coord
G310.6-01.6;;;;;plerionic composite;;contains PSR J1400-6325 + PWN;eje,PSR,PWN;;;700;2000;5;10;2.5;;2.5';;14:00:45;-63:26:00;Green J coord
G310.7-05.4;1;;;;shell;;;eje?;;;;;;;30;;31'x29';;14:12:18;-67:05:03;paper J coord
G310.8-00.4;;;Kes 20A;;shell;;;eje;;;;;5.1;5.1;12;;12';;14:00:00;-62:17:00;Green J coord
G310.9-00.3;1;;;;shell;;;eje?;;;;;;;14;;17'x11';;13:59:55;-62:03:47;paper J coord
G311.5-00.3;;;;;thermal composite;1;;eje;;;2500;9800;6.6;;5;;5';;14:05:38;-61:58:00;Green J coord
G312.4-00.4;;;;;shell;1;contains PSR J1412-6145 + PWN? and PSR J1413-6141;eje,PSR,PWN?;;;;;6;;38;;38';;14:13:00;-61:44:00;Green J coord
G312.5-03.0;;;;;shell;;;eje;;;;;;;19;;20'x18';;14:21:00;-64:12:00;Green J coord
G313.3+00.1;;;Rabbit;;filled-centre;;PWN G313.32+0.13 = Rabbit + PSR J1418-6058, part of the Kookaburra complex;PSR,PWN;;;;;3.5;5.6;3;1;;~3';14:18:41;-60:58:10;paper G name
G313.6+00.3;;;K3;G313.6+0.4;filled-centre;;PWN G313.54+0.23 + PSR J1420-6048, region K3 of the Kookaburra complex;PSR,PWN;;;;;;;2;1;;~2';14:20:07;-60:48:10;paper G name
G315.1+02.7;;;;;shell;;;eje;;;;;1.7;1.7;170;;190'x150';;14:24:30;-57:50:00;Green J coord
G315.4-00.3;;;;;unknown;1;;?;;;;;;;18;1;24'x13';;14:35:55;-60:36:00;Green J coord
G315.4-02.3;;;RCW 86, MSH 14-63;;shell;;contains several X-ray sources, contains NS + solar-type star binary;eje;185;probable;2000;12400;2.1;3.2;42;;42';;14:43:00;-62:30:00;Green J coord
G315.9-00.0;;;;G315.8-0.0;plerionic composite;;contains PSR J1437-5959 + PWN G315.78-0.23 = the Frying Pan;eje,PSR,PWN;;;;;;;19;1;25'x14';;14:38:25;-60:11:00;Green J coord
G316.3-00.0;;;(MSH 14-57);;shell;;;eje;;;;;7.2;;20;1;29'x14';;14:41:30;-60:00:00;Green J coord
G317.3-00.2;;;;;shell;;;eje;;;;;;;11;;11';;14:49:40;-59:46:00;Green J coord
G317.9-01.8;1;simplified;;;filled-centre;1;PWN candidate G317.89-1.79 around PSR J1459-6053;PSR,PWN?;;;;;;;0;1;;-;14:59:31;-60:53:10;paper G name
G318.2+00.1;;;;;shell;;;eje;;;8000;8000;3.5;9.2;37;;40'x35';;14:54:50;-59:04:00;Green J coord
G318.9+00.4;1;;;;plerionic composite;1;contains PWN?;eje?,PWN?;;;;;;;21;1;30'x14';;14:58:30;-58:29:00;Green J coord
G319.9-00.7;1;;MSC 319.9-0.7;;filled-centre;1;bow shock PWN G319.97-0.62 and PSR J1509-5850;PSR,PWN;;;;;;;6.2;1;7'x2';5.6';15:09:14;-58:54:51;paper J coord
G320.4-01.2;;;RCW 89, MSH 15-52, Jellyfish;;plerionic composite;;overlaps SNR G320.6-01.6, contains PSR J1513-5908 = B1509-58 = the Dragon + PWN = the Jellyfish;eje,PSR,PWN;185;suggested;1900;1900;3.8;6.6;35;;35';1.6';15:14:30;-59:08:00;Green J coord
G320.6-01.6;;;;;shell;;overlaps SNR G320.4-1.2;eje;;;;;;;42;1;60'x30';;15:17:50;-59:16:00;Green J coord
G321.3-03.9;1;;;;shell;;;eje?;;;;;;;83;1;109'x64';;15:32:14;-60:51:54;paper J coord
G321.9-00.3;;;;;shell;;contains PSR J1522-5735, close to SNR G321.4-00.5 and binary Circinus X-1;eje,PSR?;;;;;;;27;;31'x23';;15:20:40;-57:34:00;Green J coord
G321.9-01.1;;;;;shell;;;eje;;;;;;;28;;28';;15:23:45;-58:13:00;Green J coord
G322.1+00.0;;;Circinus X-1;;shell;;contains microquasar binary Circinus X-1 with jets;eje,NS;;;850;7100;8.4;10.2;6;;8'x4.5';;15:20:49;-57:10:00;Green J coord
G322.5-00.1;;;;;plerionic composite;1;contains PWN?, contains planetary nebula Pe 2-8;eje,PWN?;;;;;;;15;;15';;15:23:23;-57:06:00;Green J coord
G322.7+00.1;1;;;;shell;;;eje?;;;;;;;12;;13'x11';;15:24:02;-56:49:12;paper J coord
G322.9-00.0;1;;;;shell;;;eje?;;;;;;;12;;12'x11';;15:25:40;-56:46:45;paper J coord
G323.5+00.1;;;;;shell;;;eje;;;;;;;13;;13';;15:28:42;-56:21:00;Green J coord
G323.7-01.0;1;;;;shell;;close to HII region;eje?;;;8000;24000;3.5;6;44;;51'x38';;15:34:30;-57:12:03;paper J coord
G323.9+00.0;1;simplified;;;filled-centre;1;PWN candidate G323.89+0.03 and PSR J1531-5610;PSR,PWN?;;;;;;;0.12;;;7";15:31:26;-56:11:20;paper G name
G324.1+00.0;1;;;G324.1+0.1;shell;;in a complex region, surrounded by compact HII regions;eje?;;;;;;;8.8;;11'x7';;15:32:41;-56:03:14;paper J coord
G325.0-00.3;1;;;;shell;;;eje?;;;;;;;4.9;;6'x4';;15:39:21;-55:49:28;paper J coord
G326.3-01.8;;;MSH 15-56, Kes 25;G326.2-1.7;plerionic composite;;contains PWN G326.12-1.81;eje,PWN;;;9800;16500;3.4;5.8;38;;38';;15:53:00;-56:10:00;Green J coord
G327.1-01.1;;;;;plerionic composite;;contains PWN G327.15-1.04 = the Snail;eje,PWN;;;17000;17000;9;9;18;;18';;15:54:25;-55:09:00;Green J coord
G327.2-00.1;;;;G327.24-0.13;shell;;contains AXP 1E 1547.0-5408 (magnetar);eje,PSR;;;;;4;5;5;;5';;15:50:55;-54:18:00;Green J coord
G327.4+00.4;;;Kes 27;G327.3+0.4, G327.3+0.5;thermal composite;;;eje;;;2400;23000;4.3;6.5;21;;21';;15:48:20;-53:49:00;Green J coord
G327.4+01.0;;;;;shell;;;eje;;;;;;;14;;14';;15:46:48;-53:20:00;Green J coord
G327.6+14.6;;;SN1006, PKS 1459-41;;shell;;;eje;1006;certain;;;1.6;2.2;30;;30';;15:02:50;-41:56:00;Green J coord
G328.4+00.2;;;MSH 15-57;;filled-centre;;PWN and NS;NS,PWN;;;4900;6500;17.4;;5;;5';1';15:55:30;-53:17:00;Green J coord
G329.7+00.4;;;;;shell;;;eje;;;;;;;36;;40'x33';;16:01:20;-52:18:00;Green J coord
G330.0+15.0;;;Lupus Loop;;shell;;contains central possibly pulsating X-ray source;eje,PSR?;;;15000;52200;0.15;0.5;180;;180';;15:10:00;-40:00:00;Green J coord
G330.2+01.0;;;;;shell;1;contains CCO CXOU J160103.1-513353;eje,NS;;;1000;15000;5;;11;;11';;16:01:06;-51:34:00;Green J coord
G330.7+00.1;1;;;;shell;;;eje?;;;;;;;8.9;;10'x8';;16:07:28;-51:53:08;paper J coord
G331.5-00.6;1;created;;;shell;1;close to open cluster Pismis 22;eje?;;;;;;;0;;;;16:14:19;-51:49:12;paper J coord
G332.0+00.2;;;;;shell;;;eje;;;;;;;12;;12';;16:13:17;-50:53:00;Green J coord
G332.4+00.1;;;Kes 32, MSH 16-51;G332.4+0.2;shell;;PSR B1610-50 = J1614-5047 nearby;eje;;;3000;8600;7.5;11;15;;15';;16:15:20;-50:42:00;Green J coord
G332.4-00.4;;;RCW 103;;shell;;contains 1E 161348-5055 = CCO magnetar? or binary?, close to PSR AXS J1617-5055 + PWN G332.50-0.28;eje,NS?;;;2000;4400;2.7;3.3;10;;10';;16:17:33;-51:02:00;Green J coord
G332.5-00.3;;simplified;;;filled-centre;;PWN G332.50-0.28 and PSR J1617-5055, close to SNR G332.4-00.4 = RCW 103;PSR,PWN;;;;;;;1;1;;~1' with ~1" core;16:17:31;-50:55:20;paper G name
G332.5-05.6;;;;;shell;;;eje;;;7000;12100;2.2;3.8;35;;35';;16:43:20;-54:30:00;Green J coord
G333.9+00.0;1;;;;shell;;contains PSR J1622-4950 = magnetar at the centre and PSR J1622-4944 at the edge;eje?,PSR;;;;6000;;;7;;7';;16:22:38;-49:49:48;paper J coord
G334.0-00.8;1;;;;shell;;;eje?;;;;;;;12;;14'x11';;16:26:36;-50:16:19;paper J coord
G335.2+00.1;;;;;shell;;contains PSR J1627-4845;eje,PSR;;;;;1.8;1.8;21;;21';;16:27:45;-48:47:00;Green J coord
G336.4+00.2;;created;;;filled-centre;;PWN, with PSR?, close to PSR J1632-4757;PSR?,PWN;;;10000;10000;3;3;0.5;;35"x26";35"x26";16:32:09;-47:49:12;paper J coord
G336.7+00.5;;;;;shell;;;eje;;;;;;;12;;14'x10';;16:32:11;-47:19:00;Green J coord
G336.7-00.3;1;;;;composite;1;in a complex region;eje?;;;;;;;3.8;;5'x3';;16:35:25;-47:57:01;paper J coord
G336.9-00.5;1;;;;shell;;;eje?;;;;;;;13;;15'x12';;16:37:12;-47:57:53;paper J coord
G337.0-00.1;;;(CTB 33);;shell;;inside the CTB 33 complex, contains SGR 1627-41 (magnetar);eje,NS?;;;5000;5000;11;11;1.5;;1.5';;16:35:57;-47:36:00;Green J coord
G337.2+00.1;;;;;plerionic composite;1;contains PWN?;eje,PWN?;;;1500;1500;14;14;2.5;;3'x2';;16:35:55;-47:20:00;Green J coord
G337.2-00.7;;;;;shell;;;eje;;;750;4400;2;9.3;6;;6';;16:39:28;-47:51:00;Green J coord
G337.3+01.0;;;Kes 40;;shell;;;eje;;;;;5;5;13;;15'x12';;16:32:39;-46:36:00;Green J coord
G337.5-00.1;1;created;;;filled-centre;1;bow shock PWN CXOU J163802.6-471358 = 3XMM J163802.6-471357;PWN?;;;;;10;;0.67;;;40";16:38:03;-47:13:58;paper J coord
G337.8-00.1;;;Kes 41;;thermal composite;1;;eje;;;1700;16000;12.3;12.3;7.3;;9'x6';;16:39:01;-46:59:00;Green J coord
G338.1+00.4;;;;;shell;;;eje;;;;;;;15;;15';;16:37:59;-46:24:00;Green J coord
G338.3-00.0;;;;;plerionic composite;;contains PSR J1640-4631 and PWN G338.3-0.0, connected to SNR G338.5+00.1 by HII region G338.45+0.06;eje,PSR,PWN;;;1000;8000;8;13;8;;8';;16:41:00;-46:34:00;Green J coord
G338.5+00.1;;;;;unknown;1;connected to SNR G338.3-00.0 and PSR J1640-4631 by HII region G338.45+0.06;eje?;;;1100;17000;11;11;9;;9';;16:41:09;-46:19:00;Green J coord
G340.4+00.4;;;;;shell;;;eje;;;;;;;8.4;;10'x7';;16:46:31;-44:39:00;Green J coord
G340.6+00.3;;;;;shell;;;eje;;;;;15;15;6;;6';;16:47:41;-44:34:00;Green J coord
